source,target
video_1001397703332573184,label_emotion_1001397703332573184
video_1001397703332573184,label_topic_1001397703332573184
video_1001531161459441664,label_emotion_1001531161459441664
video_1001531161459441664,label_topic_1001531161459441664
video_1001681548694978560,label_emotion_1001681548694978560
video_1001681548694978560,label_topic_1001681548694978560
video_1003042166966312960,label_emotion_1003042166966312960
video_1003042166966312960,label_topic_1003042166966312960
video_1003490149176602624,label_emotion_1003490149176602624
video_1003490149176602624,label_topic_1003490149176602624
video_1003782474029248512,label_emotion_1003782474029248512
video_1003782474029248512,label_topic_1003782474029248512
video_1004042856425508864,label_emotion_1004042856425508864
video_1004042856425508864,label_topic_1004042856425508864
video_1004191380798881792,label_emotion_1004191380798881792
video_1004191380798881792,label_topic_1004191380798881792
video_1005287795113463808,label_emotion_1005287795113463808
video_1005287795113463808,label_topic_1005287795113463808
video_1005624904525201408,label_emotion_1005624904525201408
video_1005624904525201408,label_topic_1005624904525201408
video_1006189706306084864,label_emotion_1006189706306084864
video_1006189706306084864,label_topic_1006189706306084864
video_1006225114423021568,label_emotion_1006225114423021568
video_1006225114423021568,label_topic_1006225114423021568
video_1006384270601768960,label_emotion_1006384270601768960
video_1006384270601768960,label_topic_1006384270601768960
video_1006719408925827072,label_emotion_1006719408925827072
video_1006719408925827072,label_topic_1006719408925827072
video_1007133962444914688,label_emotion_1007133962444914688
video_1007133962444914688,label_topic_1007133962444914688
video_1008090316898803712,label_emotion_1008090316898803712
video_1008090316898803712,label_topic_1008090316898803712
video_1008196651174727680,label_emotion_1008196651174727680
video_1008196651174727680,label_topic_1008196651174727680
video_1008397706999549952,label_emotion_1008397706999549952
video_1008397706999549952,label_topic_1008397706999549952
video_1009254563917803520,label_emotion_1009254563917803520
video_1009254563917803520,label_topic_1009254563917803520
video_1009707103394627584,label_emotion_1009707103394627584
video_1009707103394627584,label_topic_1009707103394627584
video_1010700490369089536,label_emotion_1010700490369089536
video_1010700490369089536,label_topic_1010700490369089536
video_1010794773910863872,label_emotion_1010794773910863872
video_1010794773910863872,label_topic_1010794773910863872
video_1010803384435216384,label_emotion_1010803384435216384
video_1010803384435216384,label_topic_1010803384435216384
video_1011871419321417728,label_emotion_1011871419321417728
video_1011871419321417728,label_topic_1011871419321417728
video_1012202601665691648,label_emotion_1012202601665691648
video_1012202601665691648,label_topic_1012202601665691648
video_1012300587720699904,label_emotion_1012300587720699904
video_1012300587720699904,label_topic_1012300587720699904
video_1012520751829598208,label_emotion_1012520751829598208
video_1012520751829598208,label_topic_1012520751829598208
video_1012670469843058688,label_emotion_1012670469843058688
video_1012670469843058688,label_topic_1012670469843058688
video_1013942839530467328,label_emotion_1013942839530467328
video_1013942839530467328,label_topic_1013942839530467328
video_1013994610969788416,label_emotion_1013994610969788416
video_1013994610969788416,label_topic_1013994610969788416
video_1014047599634104320,label_emotion_1014047599634104320
video_1014047599634104320,label_topic_1014047599634104320
video_1014296143544356864,label_emotion_1014296143544356864
video_1014296143544356864,label_topic_1014296143544356864
video_1014439802227286016,label_emotion_1014439802227286016
video_1014439802227286016,label_topic_1014439802227286016
video_1014455979091656704,label_emotion_1014455979091656704
video_1014455979091656704,label_topic_1014455979091656704
video_1014514130801008640,label_emotion_1014514130801008640
video_1014514130801008640,label_topic_1014514130801008640
video_1015742929878622208,label_emotion_1015742929878622208
video_1015742929878622208,label_topic_1015742929878622208
video_1015768740903772160,label_emotion_1015768740903772160
video_1015768740903772160,label_topic_1015768740903772160
video_1016168381583654912,label_emotion_1016168381583654912
video_1016168381583654912,label_topic_1016168381583654912
video_1016596288051306496,label_emotion_1016596288051306496
video_1016596288051306496,label_topic_1016596288051306496
video_1017316387020218368,label_emotion_1017316387020218368
video_1017316387020218368,label_topic_1017316387020218368
video_1017348591884328960,label_emotion_1017348591884328960
video_1017348591884328960,label_topic_1017348591884328960
video_1017875065444130816,label_emotion_1017875065444130816
video_1017875065444130816,label_topic_1017875065444130816
video_1017970044258377728,label_emotion_1017970044258377728
video_1017970044258377728,label_topic_1017970044258377728
video_1018345515672645632,label_emotion_1018345515672645632
video_1018345515672645632,label_topic_1018345515672645632
video_1018399483828326400,label_emotion_1018399483828326400
video_1018399483828326400,label_topic_1018399483828326400
video_1018667358321250304,label_emotion_1018667358321250304
video_1018667358321250304,label_topic_1018667358321250304
video_1018729501821399040,label_emotion_1018729501821399040
video_1018729501821399040,label_topic_1018729501821399040
video_1019009049120886784,label_emotion_1019009049120886784
video_1019009049120886784,label_topic_1019009049120886784
video_1019862122563563520,label_emotion_1019862122563563520
video_1019862122563563520,label_topic_1019862122563563520
video_1020511330580787200,label_emotion_1020511330580787200
video_1020511330580787200,label_topic_1020511330580787200
video_1020541928640507905,label_emotion_1020541928640507905
video_1020541928640507905,label_topic_1020541928640507905
video_1020817084546215936,label_emotion_1020817084546215936
video_1020817084546215936,label_topic_1020817084546215936
video_1020901686048665600,label_emotion_1020901686048665600
video_1020901686048665600,label_topic_1020901686048665600
video_1020912874765619200,label_emotion_1020912874765619200
video_1020912874765619200,label_topic_1020912874765619200
video_1020930368741761024,label_emotion_1020930368741761024
video_1020930368741761024,label_topic_1020930368741761024
video_1021214042855018496,label_emotion_1021214042855018496
video_1021214042855018496,label_topic_1021214042855018496
video_1021311568061095936,label_emotion_1021311568061095936
video_1021311568061095936,label_topic_1021311568061095936
video_1021335174224465920,label_emotion_1021335174224465920
video_1021335174224465920,label_topic_1021335174224465920
video_1021655017381584896,label_emotion_1021655017381584896
video_1021655017381584896,label_topic_1021655017381584896
video_1023091917250023424,label_emotion_1023091917250023424
video_1023091917250023424,label_topic_1023091917250023424
video_1025200529762304000,label_emotion_1025200529762304000
video_1025200529762304000,label_topic_1025200529762304000
video_1025231522179231744,label_emotion_1025231522179231744
video_1025231522179231744,label_topic_1025231522179231744
video_1025563073714483200,label_emotion_1025563073714483200
video_1025563073714483200,label_topic_1025563073714483200
video_1025583405355937792,label_emotion_1025583405355937792
video_1025583405355937792,label_topic_1025583405355937792
video_1025590120042164224,label_emotion_1025590120042164224
video_1025590120042164224,label_topic_1025590120042164224
video_1025609192838443008,label_emotion_1025609192838443008
video_1025609192838443008,label_topic_1025609192838443008
video_1026296025050148864,label_emotion_1026296025050148864
video_1026296025050148864,label_topic_1026296025050148864
video_1026658089262612480,label_emotion_1026658089262612480
video_1026658089262612480,label_topic_1026658089262612480
video_1026805374071754752,label_emotion_1026805374071754752
video_1026805374071754752,label_topic_1026805374071754752
video_1026948475654725632,label_emotion_1026948475654725632
video_1026948475654725632,label_topic_1026948475654725632
video_1027003324282654720,label_emotion_1027003324282654720
video_1027003324282654720,label_topic_1027003324282654720
video_1027371347221045248,label_emotion_1027371347221045248
video_1027371347221045248,label_topic_1027371347221045248
video_1027437650183081984,label_emotion_1027437650183081984
video_1027437650183081984,label_topic_1027437650183081984
video_1027479240444452864,label_emotion_1027479240444452864
video_1027479240444452864,label_topic_1027479240444452864
video_1027519055210438656,label_emotion_1027519055210438656
video_1027519055210438656,label_topic_1027519055210438656
video_1027733396387975168,label_emotion_1027733396387975168
video_1027733396387975168,label_topic_1027733396387975168
video_1028080834764255232,label_emotion_1028080834764255232
video_1028080834764255232,label_topic_1028080834764255232
video_1028570940705239040,label_emotion_1028570940705239040
video_1028570940705239040,label_topic_1028570940705239040
video_1030291178240856064,label_emotion_1030291178240856064
video_1030291178240856064,label_topic_1030291178240856064
video_1030470596695359488,label_emotion_1030470596695359488
video_1030470596695359488,label_topic_1030470596695359488
video_1030637312557678592,label_emotion_1030637312557678592
video_1030637312557678592,label_topic_1030637312557678592
video_1031714823689437184,label_emotion_1031714823689437184
video_1031714823689437184,label_topic_1031714823689437184
video_1032610021605056512,label_emotion_1032610021605056512
video_1032610021605056512,label_topic_1032610021605056512
video_1033243846865473536,label_emotion_1033243846865473536
video_1033243846865473536,label_topic_1033243846865473536
video_1033551391932710912,label_emotion_1033551391932710912
video_1033551391932710912,label_topic_1033551391932710912
video_1033993129051017216,label_emotion_1033993129051017216
video_1033993129051017216,label_topic_1033993129051017216
video_1034009613798187008,label_emotion_1034009613798187008
video_1034009613798187008,label_topic_1034009613798187008
video_1034325239603015680,label_emotion_1034325239603015680
video_1034325239603015680,label_topic_1034325239603015680
video_1035095956305125376,label_emotion_1035095956305125376
video_1035095956305125376,label_topic_1035095956305125376
video_1035362829223784448,label_emotion_1035362829223784448
video_1035362829223784448,label_topic_1035362829223784448
video_1035704405627965440,label_emotion_1035704405627965440
video_1035704405627965440,label_topic_1035704405627965440
video_1035709331489832960,label_emotion_1035709331489832960
video_1035709331489832960,label_topic_1035709331489832960
video_1035989830989217792,label_emotion_1035989830989217792
video_1035989830989217792,label_topic_1035989830989217792
video_1036391385047134208,label_emotion_1036391385047134208
video_1036391385047134208,label_topic_1036391385047134208
video_1036470207365230592,label_emotion_1036470207365230592
video_1036470207365230592,label_topic_1036470207365230592
video_1036776803483684864,label_emotion_1036776803483684864
video_1036776803483684864,label_topic_1036776803483684864
video_1036918934974406656,label_emotion_1036918934974406656
video_1036918934974406656,label_topic_1036918934974406656
video_1037513465897598976,label_emotion_1037513465897598976
video_1037513465897598976,label_topic_1037513465897598976
video_1037547364719775744,label_emotion_1037547364719775744
video_1037547364719775744,label_topic_1037547364719775744
video_1037557671953342464,label_emotion_1037557671953342464
video_1037557671953342464,label_topic_1037557671953342464
video_1037584295784497152,label_emotion_1037584295784497152
video_1037584295784497152,label_topic_1037584295784497152
video_1037604986386882560,label_emotion_1037604986386882560
video_1037604986386882560,label_topic_1037604986386882560
video_1038002020772110336,label_emotion_1038002020772110336
video_1038002020772110336,label_topic_1038002020772110336
video_1038279828601765888,label_emotion_1038279828601765888
video_1038279828601765888,label_topic_1038279828601765888
video_1038638173796159488,label_emotion_1038638173796159488
video_1038638173796159488,label_topic_1038638173796159488
video_1038952710659035136,label_emotion_1038952710659035136
video_1038952710659035136,label_topic_1038952710659035136
video_1040017863920017408,label_emotion_1040017863920017408
video_1040017863920017408,label_topic_1040017863920017408
video_1040475260585484288,label_emotion_1040475260585484288
video_1040475260585484288,label_topic_1040475260585484288
video_1040480063214456832,label_emotion_1040480063214456832
video_1040480063214456832,label_topic_1040480063214456832
video_1040547079480930304,label_emotion_1040547079480930304
video_1040547079480930304,label_topic_1040547079480930304
video_1040715918327648256,label_emotion_1040715918327648256
video_1040715918327648256,label_topic_1040715918327648256
video_1041223651707719680,label_emotion_1041223651707719680
video_1041223651707719680,label_topic_1041223651707719680
video_1041575393192218624,label_emotion_1041575393192218624
video_1041575393192218624,label_topic_1041575393192218624
video_1041926984047251456,label_emotion_1041926984047251456
video_1041926984047251456,label_topic_1041926984047251456
video_1042152100458799104,label_emotion_1042152100458799104
video_1042152100458799104,label_topic_1042152100458799104
video_1044184247084498944,label_emotion_1044184247084498944
video_1044184247084498944,label_topic_1044184247084498944
video_1044413228903788544,label_emotion_1044413228903788544
video_1044413228903788544,label_topic_1044413228903788544
video_1044444091183788032,label_emotion_1044444091183788032
video_1044444091183788032,label_topic_1044444091183788032
video_1045487837144907776,label_emotion_1045487837144907776
video_1045487837144907776,label_topic_1045487837144907776
video_1045523258935754752,label_emotion_1045523258935754752
video_1045523258935754752,label_topic_1045523258935754752
video_1045940810706726912,label_emotion_1045940810706726912
video_1045940810706726912,label_topic_1045940810706726912
video_1046262244998258688,label_emotion_1046262244998258688
video_1046262244998258688,label_topic_1046262244998258688
video_1046367793622441984,label_emotion_1046367793622441984
video_1046367793622441984,label_topic_1046367793622441984
video_1046683080292782080,label_emotion_1046683080292782080
video_1046683080292782080,label_topic_1046683080292782080
