target_id,label_type,value,confidence,id
1156467652974342144,bullying,0,1.0,label_bullying_1156467652974342144
1156467652974342144,aggression,0,1.0,label_aggression_1156467652974342144
1172294545229434880,bullying,0,1.0,label_bullying_1172294545229434880
1172294545229434880,aggression,0,1.0,label_aggression_1172294545229434880
1116987080183062528,bullying,0,1.0,label_bullying_1116987080183062528
1116987080183062528,aggression,0,1.0,label_aggression_1116987080183062528
1057501435811500032,bullying,0,1.0,label_bullying_1057501435811500032
1057501435811500032,aggression,0,0.7895,label_aggression_1057501435811500032
1122565290144968704,bullying,1,0.8314,label_bullying_1122565290144968704
1122565290144968704,aggression,1,1.0,label_aggression_1122565290144968704
1176833275743068160,bullying,0,0.627,label_bullying_1176833275743068160
1176833275743068160,aggression,1,0.5845,label_aggression_1176833275743068160
1100096249568595968,bullying,0,1.0,label_bullying_1100096249568595968
1100096249568595968,aggression,0,1.0,label_aggression_1100096249568595968
1111638345144008704,bullying,1,0.7744,label_bullying_1111638345144008704
1111638345144008704,aggression,1,0.7744,label_aggression_1111638345144008704
1174929297677389824,bullying,0,0.5842,label_bullying_1174929297677389824
1174929297677389824,aggression,0,0.5842,label_aggression_1174929297677389824
1106737307656036352,bullying,0,1.0,label_bullying_1106737307656036352
1106737307656036352,aggression,0,1.0,label_aggression_1106737307656036352
1123819302441644032,bullying,0,1.0,label_bullying_1123819302441644032
1123819302441644032,aggression,0,1.0,label_aggression_1123819302441644032
1162968975672778752,bullying,0,1.0,label_bullying_1162968975672778752
1162968975672778752,aggression,0,1.0,label_aggression_1162968975672778752
1167693037900857344,bullying,1,0.794,label_bullying_1167693037900857344
1167693037900857344,aggression,1,0.794,label_aggression_1167693037900857344
1124478819911585792,bullying,0,1.0,label_bullying_1124478819911585792
1124478819911585792,aggression,0,1.0,label_aggression_1124478819911585792
1100586565102940160,bullying,0,1.0,label_bullying_1100586565102940160
1100586565102940160,aggression,0,1.0,label_aggression_1100586565102940160
1117113774453805056,bullying,0,1.0,label_bullying_1117113774453805056
1117113774453805056,aggression,0,1.0,label_aggression_1117113774453805056
1020912874765619200,bullying,0,0.7895,label_bullying_1020912874765619200
1020912874765619200,aggression,0,0.7895,label_aggression_1020912874765619200
1101279017832968192,bullying,0,0.7932,label_bullying_1101279017832968192
1101279017832968192,aggression,0,0.7932,label_aggression_1101279017832968192
1137584551972270080,bullying,0,1.0,label_bullying_1137584551972270080
1137584551972270080,aggression,0,1.0,label_aggression_1137584551972270080
1064015840896225280,bullying,0,0.7744,label_bullying_1064015840896225280
1064015840896225280,aggression,0,0.7744,label_aggression_1064015840896225280
1115991006584987648,bullying,0,0.5986,label_bullying_1115991006584987648
