source,target,content,timestamp,comment_id
user_Josh Alvarez,video_1058237395197440000,i know its fake but he really just jumps to the side there is no editing Kaisaiah Simmons,2014-11-16T05:01:03.000000,1058237395197440000_1145631565041270784
user_Manuella Calonico,video_1107714967882563584,Matthew Espinosa,2014-08-03T15:54:41.000000,1107714967882563584_1107745328519692288
user_Milena Vera,video_1045523258935754752,Not you sleepingbeauty,2014-02-19T06:14:44.000000,1045523258935754752_1047805382329876480
user_Lane Sands,video_1149189214303641600,Is a white man the person hiding in your bushes with a gun? Do we steal your car rims?,2014-11-26T01:01:21.000000,1149189214303641600_1149195120445624320
user_iqbalides,video_1132907236507746304,Sammy Wilk I don't know why I thought that since I just realised this was your vine,2014-11-09T10:03:43.000000,1132907236507746304_1143171015380537344
user_Jarred_t_benjamin,video_1150217176888815616,"I was jk😂 calm your tits Hayden Cook, Jason Cotton",2014-11-28T22:12:34.000000,1150217176888815616_1150239807730257920
user_Braylee,video_1008804987607896064,I mean Jesus knows we love him we don't need a video to show it,2015-01-13T23:05:05.000000,1008804987607896064_1166922866055331840
user_Brandon Ross,video_1055302920520220672,Hella dope,2014-03-11T23:27:42.000000,1055302920520220672_1055313092483100672
user_† hippy harmony †,video_1117944738956627968,Bc we ALL know they're NOT sluts,2014-08-31T19:37:18.000000,1117944738956627968_1117948213757177856
user_Moo227,video_1010700490369089536,😂😂😂😂😂😂,2013-11-10T00:18:56.000000,1010700490369089536_1011114667219042304
user_Moo227,video_1026805374071754752,Goop Cager lets do this at work,2013-12-23T20:44:56.000000,1026805374071754752_1027005881440710656
user_Astin_NoMartin,video_1056767045251080192,"Trey Mercury, EdyWithTheRedHair, Shana Marie, Cutitout, Nijala Janae, Anastasia Steele 😩😩😂😂😩",2014-03-29T12:18:12.000000,1056767045251080192_1061667589656571904
user_Matheus,video_1066477558595461120,"Brendon McNerney no you won't , you are not like this 😭😭",2014-04-11T19:38:46.000000,1066477558595461120_1066489503453249536
user_Matheus,video_1149143832555147264,Como chama essa música,2014-11-29T00:06:50.000000,1149143832555147264_1150268563597484032
user_Roz A,video_1033993129051017216,Simran Badwal 😂😂😂,2014-05-28T15:58:52.000000,1033993129051017216_1083466395070664704
user_Roz A,video_1074178615274520576,Takwak HAHAHAHAHA,2014-05-03T21:09:07.000000,1074178615274520576_1074484776926584832
user_Alexiz52,video_1052149019687985152,Haha o really 😂😂😂😂,2014-04-27T03:46:19.000000,1052149019687985152_1072048017781280768
user_Santino Stillisano,video_1105729114431725568,Go revine more of Nash Grier u gay ass fan boy,2014-08-05T05:13:47.000000,1105729114431725568_1108308817432731648
user_Jaydon,video_1179602719028248576,Haha no kidding Nolan Forster,2015-02-18T22:51:19.000000,1179602719028248576_1179965364323614720
user_galang,video_1151417953988849664,EyeJay whahahahahaha laptip yeeeet,2014-12-15T04:47:58.000000,1151417953988849664_1156137519130271744
user_Melanie Nevarez,video_1174245255768346624,You so adorable,2015-02-03T04:18:08.000000,1174245255768346624_1174249403343863808
user_Harrys Ferns,video_1072641231181459456,Mckenzie Leigh,2014-07-09T19:34:39.000000,1072641231181459456_1098740987628838912
user_Harrys Ferns,video_1161768321448910848,"Niall's Princess☼, Megan, Gabrielle Coblentz",2015-01-26T04:28:25.000000,1161768321448910848_1171352890607087616
user_mike,video_1018345515672645632,What song is this,2013-12-09T20:20:14.000000,1018345515672645632_1021926231672872960
user_mike,video_1172059693724884992,Song,2015-02-06T20:31:51.000000,1172059693724884992_1175581613321543680
user_mike,video_1172723682289004544,Love sucking in public toilets,2015-03-14T08:55:04.000000,1172723682289004544_1188452221625958400
user_Blake Cheek,video_1059992032464228352,Can't***Itsimti,2014-04-14T02:14:00.000000,1059992032464228352_1067313745413476352
user_Elizabeth Grich,video_1168346839330738176,woah lily,2015-01-18T18:47:25.000000,1168346839330738176_1168669960143613952
user_Elizabeth Grich,video_1174178818253320192,woah lily what the hell is this,2015-02-09T18:07:43.000000,1174178818253320192_1176632501117075456
user_leah apoian,video_1165506062229676032,Samantha Philippeaux you get what he means doe I get it fuck,2015-01-27T07:01:26.000000,1165506062229676032_1171753785362722816
user_Ieyasu Taii,video_1006384270601768960,"Chaseti J Erwin Screw pride, if website A was where a bully attacking me was at, I'd ditch that website. *shrugs*",2013-10-31T01:57:16.000000,1006384270601768960_1007515535518380032
user_Parth Lad,video_1125144559953797120,Save Gram app 💩,2014-09-21T01:00:55.000000,1125144559953797120_1125277410842095616
user_Dani mougin,video_1027437650183081984,Casey Francis this is my good friend. I was joking babe.,2014-01-12T01:11:40.000000,1027437650183081984_1033958373298720768
user__cdam,video_1054174904356311040,😂😂😂 SamTakesOff mad or nah?! 😩,2014-03-08T22:14:15.000000,1054174904356311040_1054207445276246016
user__cdam,video_973454446254489600,lmao😂😂😂 he getting it,2013-08-23T07:03:00.000000,973454446254489600_982587712576393216
user_Jared Yates,video_1138169176205225985,Dana Yates,2014-10-26T17:59:49.000000,1138169176205225985_1138217403134652416
user_Jonathan Lol Lol,video_1150571393902436352,Fake,2014-11-30T18:16:28.000000,1150571393902436352_1150905166212775936
user_Miki Cole,video_1001397703332573184,eric nakassa hahaha yeach him lol,2013-10-14T05:01:23.000000,1001397703332573184_1001401277705523200
user_Tatiana Fuller,video_1120196474228412416,Oooo sheit 😍,2014-09-07T20:48:24.000000,1120196474228412416_1120502822274748416
user_Tatiana Fuller,video_1143287259584675840,Song?,2014-11-09T18:41:19.000000,1143287259584675840_1143301273458786304
user_Jayy Leo,video_1088606388550275072,You know what you're talkin abut keep your mouth closed,2014-06-11T21:57:40.000000,1088606388550275072_1088630122283962368
user_tabbi,video_1082666054314094592,"If anything I thought the guard was being a bit of a dick, rolling his eyes and such like it was a joke smh",2014-05-26T14:49:29.000000,1082666054314094592_1082724160847110144
user_anah c.,video_1144089309163761664,so cute 😭Ally Leverett,2014-11-18T23:45:03.000000,1144089309163761664_1146639203040645120
user_anah c.,video_1154295514678829056,Ally Leverett 😭,2014-12-11T00:10:41.000000,1154295514678829056_1154618188210802688
user_anah c.,video_1172688614447071232,Ally Leverett,2015-01-30T03:37:27.000000,1172688614447071232_1172789613824237568
user_Reagan,video_1141578684688445440,Coven,2015-02-23T22:27:55.000000,1141578684688445440_1181771414710493184
user_Reagan,video_995815198730706944,Haha,2014-07-01T03:48:17.000000,995815198730706944_1095603724849942528
user_nope kristina,video_1154295514678829056,Awwww 😭😭😭😭😭 this hurts my heart 😭😭😭 why does he look so sad 😢 I'm crying bc he looks sad 💔,2014-12-12T02:28:28.000000,1154295514678829056_1155015249691656192
user_nope kristina,video_1163626828175691776,70s harold I would be honored. He could do it rn,2015-02-04T11:37:34.000000,1163626828175691776_1174722380502114304
user_nope kristina,video_1172688614447071232,I AM CRYING,2015-01-29T21:58:51.000000,1172688614447071232_1172704401727631360
user_TYSE,video_1156453163369406464,Die,2014-12-28T22:21:19.000000,1156453163369406464_1161113646181842944
user_wassup_ malaika,video_1045487837144907776,Dtress,2014-07-06T03:03:41.000000,1045487837144907776_1097404440555794432
user_Madeline's Edits,video_1156758594600284160,"Im just like ""if they are broke up"" (which I thot they werent) itll be like kalel and antony",2014-12-17T11:26:01.000000,1156758594600284160_1156962467692306432
user_ItsChelseaBaby,video_1131097486707351552,Haha yessssaa can't even help it,2014-10-07T02:42:11.000000,1131097486707351552_1131101100603523072
user_ItsChelseaBaby,video_1148898679500255232,CNt even wait. Always a good game. Uh hi I miss your face by the way lol. I'm back,2014-11-28T20:33:56.000000,1148898679500255232_1150214984887046144
user_Miss Amor,video_1123525409330565120,I would licking him all over,2014-09-16T12:34:17.000000,1123525409330565120_1123639965054611456
user_Thomas Salem,video_1133907446788939776,But it's okay..... you hit him really hard...,2014-10-15T04:27:29.000000,1133907446788939776_1134026704029945856
user_Joel Jeezy #BestEdits,video_1017316387020218368,Nitti Nunes good shit bro!! 😎😎😏,2013-11-27T06:16:54.000000,1017316387020218368_1017365346703073280
user_First Woman Down,video_975533569261043712,"And it's called 'Vine magic' for a reason. I treat PEOPLE with respect, not haters",2014-02-16T02:40:31.000000,975533569261043712_1046664310426058752
user_lunchtrae,video_1057758328068952064,Ponyboy Harris i said the same thing before i posted the vid 🌚,2014-03-18T23:55:17.000000,1057758328068952064_1057856749149294592
user_lunchtrae,video_1107617794134110208,SheLovesMeechie we dem niggas,2014-09-11T22:14:51.000000,1107617794134110208_1121974126433980416
user_bae,video_994799845514846208,I wish u were all mine😩😩😩😩😫😫😫😠,2015-03-31T01:55:52.000000,994799845514846208_1194507323838758912
user_Naww,video_965522693774626816,Eve Evans no way! I haven't seen nothing since that bangbros shit like a year ago. Who u shooting for?  Shiiieet getsome,2013-07-08T04:10:29.000000,965522693774626816_965874456092450816
user_Mik,video_1163980691873357824,"Madeline Wright, Taylor Hulderman",2015-01-05T23:22:14.000000,1163980691873357824_1164028078368997376
user_Mik,video_1181848305580351488,Ryan Burke kill the disrespect,2015-02-24T14:34:47.000000,1181848305580351488_1182014735282012160
user_methtical36,video_1014047599634104320,Will you please sit on my face haha👍😜❤️.,2013-12-03T05:20:42.000000,1014047599634104320_1019525531932454912
user_alexis,video_1095898870002941952,Wait that's not harmony hahaha,2014-07-02T01:41:54.000000,1095898870002941952_1095934307576721408
user_alexis,video_1117233634110476288,tell them haters brady,2014-08-29T20:21:45.000000,1117233634110476288_1117234624444399616
user_The Creative Wiz-Kid,video_1151417953988849664,I used to eat lemon wedges when I was little. I don't know how I did it 😆,2014-12-11T01:46:04.000000,1151417953988849664_1154642189461151744
user_The Creative Wiz-Kid,video_1175909985952190464,XD lovely,2015-02-07T21:15:31.000000,1175909985952190464_1175954987722121216
user_Dani & Court,video_1116860854491869184,"shanna | @pieterxe stfu look what you look like ""slut""",2014-08-29T22:42:56.000000,1116860854491869184_1117270153663594496
user_softlemonade,video_1168346839330738176,i agree so much im speechless,2015-01-18T00:52:47.000000,1168346839330738176_1168399520980156416
user_softlemonade,video_1172688614447071232,Ainhininaleduc DID YOU KNOW THIS 😭😭😭😭,2015-01-30T00:58:29.000000,1172688614447071232_1172749609345384448
user_Ezgi,video_1006189706306084864,Racist IFollowBack,2013-10-29T15:49:49.000000,1006189706306084864_1007000278601715712
user_Ezgi,video_1065408203174641664,Cansuiskender,2014-04-09T08:01:30.000000,1065408203174641664_1065589258259230720
user_Ezgi,video_1119743265634504704,Ayrica hic de mutlu olmuyoruz ve beyaz pantolon falan da giymiyoruz :D,2014-09-06T10:15:59.000000,1119743265634504704_1119981281498025984
user_The one and only 112,video_1112180626523672576,So cheap😒,2015-01-14T23:39:36.000000,1112180626523672576_1167293939447926784
user_Joyce,video_1096952104704180224,I am going to cry,2014-07-18T04:15:40.000000,1096952104704180224_1101771209315590144
user_Daniel Carreon,video_1176770072732479488,Tasering *,2015-02-10T15:10:55.000000,1176770072732479488_1176950395730300928
user_Ash,video_1008090316898803712,You're a dick,2013-11-07T01:32:14.000000,1008090316898803712_1010045950313558016
user_Ash,video_1045523258935754752,The first one is me the other one is my bestie!!!!,2014-02-13T01:49:54.000000,1045523258935754752_1045564408933801984
user_Ash,video_1073365057221664768,"MeeShellx3, Kimberlyyy",2014-05-01T00:40:21.000000,1073365057221664768_1073450770004955136
user_Ash,video_1161834111133155329,× Emily Sly ×  😂😂,2015-03-10T21:30:39.000000,1161834111133155329_1187192821627670528
user_Feyi Yusuf,video_1071559888842489856,Wilny Moliere,2014-04-26T15:30:15.000000,1071559888842489856_1071862782317764608
user_Feyi Yusuf,video_1132434737164881920,Wilny Moliere,2014-10-11T18:16:08.000000,1132434737164881920_1132785691294605312
user_Sayaam Khan,video_1153805453625622528,"PORTILLO1•8•12 Yeah, and who asked for yours to begin with?",2014-12-09T05:54:30.000000,1153805453625622528_1153979935338196992
user_Alan C,video_1180304109229035520,Aight aight Nick Serio,2015-02-20T03:13:09.000000,1180304109229035520_1180393642498670592
user_QUEEN K♏️,video_1149097542819139584,peoplelikeustwo kill yoself.,2014-12-26T17:52:27.000000,1149097542819139584_1160321208018169856
user_Clint Nash,video_1108563930927824896,Fake ;),2014-08-07T22:28:45.000000,1108563930927824896_1109294052521742336
user_Clint Nash,video_1172735260652687360,Cat to the rescue Alec Zabala,2015-02-03T00:53:22.000000,1172735260652687360_1174197872280129536
user_Peter Bartolameolli,video_1003782474029248512,"Zoie Price, Alice Powers l",2013-10-22T02:31:07.000000,1003782474029248512_1004262564261453824
user_Christa Johnson,video_1104632605485494272,Lakayla Robinson about to fuck shit up,2014-07-26T01:47:12.000000,1104632605485494272_1104632948520869888
user_Christa Johnson,video_1117233634110476288,😹👏👌,2014-08-29T20:19:34.000000,1117233634110476288_1117234072910012416
user_V Z. (I Follow Back),video_1106782634031673344,She makes me happy to,2014-08-05T22:01:01.000000,1106782634031673344_1108562294725566464
user_V Z. (I Follow Back),video_1161768321448910848,ʟɪᴢ,2015-01-30T23:37:08.000000,1161768321448910848_1173091525551411200
user_lovely boy luke//love you zayn,video_1127822026334154752,I followed you NOW SO TRY TO VM AGAIN,2014-10-14T01:54:09.000000,1127822026334154752_1133625728806932480
user_Sirrdavion Jackson,video_1156453163369406464,I ment dead,2015-01-09T00:29:13.000000,1156453163369406464_1165132097984544768
user_Jaque Jimeaux Russe,video_1142295750332801024,You got to make even more- I laugh so much to the point of transition (death) when I watch your material man!!! LMBO!!!!,2014-11-08T02:28:24.000000,1142295750332801024_1142694046641635328
user_Velvet Ju.Ice,video_1121212235147096064,Well it must be good to be you and sucks to be the ones who get curved lmao 1Influential,2014-09-09T20:05:31.000000,1121212235147096064_1121216806758027264
user_Velvet Ju.Ice,video_1045940810706726912,He's going to lisp your ass to death for this 😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩😩,2014-02-14T02:52:18.000000,1045940810706726912_1045942500990382080
user_Thomas Mason,video_994090244574011392,Jack Gotta,2014-03-15T23:07:48.000000,994090244574011392_1056757636294692864
user_Valeria Sanchez,video_1108563930927824896,"enriquejosue, Mirelys ese fue el q les dije",2014-08-07T22:05:22.000000,1108563930927824896_1109288166122500096
user_Valeria Sanchez,video_1144054832739561472,Poor guy,2015-03-10T23:38:20.000000,1144054832739561472_1187224954530361344
user_Brittanie Floyd,video_1071192384462815232,They had kids...,2015-01-29T14:08:53.000000,1071192384462815232_1172586133335785472
user_charliee,video_1049866734833991680,MickieM thank you baby 😘 love you too 💛,2014-02-25T00:16:37.000000,1049866734833991680_1049889586827972608
user_Anissa,video_1098157924557172736,Tristan Lyric Weathers,2014-07-17T18:08:02.000000,1098157924557172736_1101618292952649728
user_Anissa,video_1161394357018984448,Regina 😫😂😂😂😂😂,2015-03-06T20:02:09.000000,1161394357018984448_1185720998549438464
user_Cayla,video_1036918934974406656,😂😂😭😭😭😩 dead briebreezy,2014-01-24T22:31:07.000000,1036918934974406656_1038629010986483712
user_Cayla,video_1171707907222761472,Hotskull,2015-01-27T04:34:45.000000,1171707907222761472_1171716871431565312
user_Abi Ruth,video_1052149019687985152,I think your on the wrong social media,2014-03-03T22:53:32.000000,1052149019687985152_1052405395034984448
user_Bands kms ✧♡☾,video_1103172170706006016,dRUUUUNK,2014-12-15T09:25:35.000000,1103172170706006016_1156207381705814016
user_Bands kms ✧♡☾,video_1149815277853339648,..............bIIIIIIIIIIIIIIEEEEEEETCHHF,2014-11-29T05:26:26.000000,1149815277853339648_1150348995022196736
user_Damocles,video_1093012547432751104,Nick Sally  Fuck you,2014-06-27T19:24:41.000000,1093012547432751104_1094389826398388224
user_its jana ♛,video_1160414289270632448,Goodbye world! Don't forget to play four at my funeral!,2014-12-27T17:41:42.000000,1160414289270632448_1160680889613991936
user_David Sunderwald,video_1055376321662377984,TheshortgirlAriel not everyone enjoys the same hobbies as you 😒,2014-03-12T17:35:53.000000,1055376321662377984_1055586943637368832
user_Imani,video_1026296025050148864,Ironically wearing this exact same shirt right now,2013-12-22T01:40:00.000000,1026296025050148864_1026355360652791808
user_Imani,video_1123816384208752640,St3phan!3 please look at all the timid white people!,2014-09-18T23:17:52.000000,1123816384208752640_1124526700693254144
user_Imani,video_994799845514846208,Cute as fuck💘,2014-10-17T23:41:06.000000,994799845514846208_1135041797568229376
user_Amygill,video_1148862471034011648,Nasty teeth,2014-12-01T04:57:57.000000,1148862471034011648_1151066603094487040
user_Alex Garcia,video_1008804987607896064,F u,2015-01-23T23:07:17.000000,1008804987607896064_1170547299345403904
user_Alex Garcia,video_1047619465950736384,"Andrew Carranza, levy lopez, John Adams",2014-03-03T06:04:17.000000,1047619465950736384_1052151408536719360
user_Alex Garcia,video_1142252770586521600,Well fuck Ariel Maimon,2014-11-07T03:32:47.000000,1142252770586521600_1142347858801229824
user_Alex Garcia,video_1179657072758132736,Ryan Steinbach,2015-02-21T02:46:38.000000,1179657072758132736_1180749358137032704
user_Becky Costa,video_991018949669957632,"It's awesome, I love it. My favorite one.",2013-10-17T20:59:09.000000,991018949669957632_1002729470169415680
user_dl rumy,video_1142441980983689216,Bence böyle yapmaya devam etme olcak aq,2015-01-21T19:55:17.000000,1142441980983689216_1169774203067686912
user_Kristina,video_1078788598574231552,Thank you for your service.,2014-06-21T22:17:40.000000,1078788598574231552_1092259031260741632
user_Kristina,video_1152013993666629632,Marina,2014-12-23T05:02:54.000000,1152013993666629632_1159040379643904000
user_Kristina,video_1176468460994273280,OMGG I NEED IT,2015-02-09T07:52:23.000000,1176468460994273280_1176477649539903488
user_Symm,video_998151007915950080,Teddy Harper Oh! God bless you 😩,2013-10-06T22:48:12.000000,998151007915950080_998770645548630016
user_EwSinger,video_1144141477287514112,Justine look who's talking ._.,2014-12-08T11:09:44.000000,1144141477287514112_1153696878844944384
user_Jay Nicee,video_1174190715665047552,👀😭😭😭😭😭😭 funny ass nigga bruh,2015-02-03T05:06:19.000000,1174190715665047552_1174261528262832128
user_chris 23,video_990362753342521344,Ashton Hayes your welcome <3,2013-09-25T21:28:53.000000,990362753342521344_994764419752230912
user_F L A W L E S S ✨,video_1163561219811172352,King S T E P H E N,2015-01-05T06:31:06.000000,1163561219811172352_1163773616928837632
user_Adlef,video_1100181285881724928,Hey GUYS! Help me get noticed for my MAGIC VINES!,2014-07-14T06:52:43.000000,1100181285881724928_1100361183451582464
user_Brett Ward,video_1030470596695359488,Sebastian_890 hey thanks for telling me. I'll try to remember that when I'm tongue punching your sister's b-hole later.,2014-01-02T15:46:45.000000,1030470596695359488_1030554715982831616
user_Davis Lopez,video_1144054832739561472,Did they win,2014-11-14T01:33:51.000000,1144054832739561472_1144854645043519488
user_Matt LaBella,video_1153877774747004928,fuck you,2014-12-10T03:51:31.000000,1153877774747004928_1154311371668791296
user_Ashley Olson,video_1089363733589180416,Ash_n_Al,2014-07-14T00:40:52.000000,1089363733589180416_1100267602917384192
user_Ashley Olson,video_1150175436693749760,"Al_edits, LouBear21",2015-02-17T00:39:05.000000,1150175436693749760_1179267710379847680
user_~carrigan~,video_1098157924557172736,Bryna Whitt,2014-07-16T00:58:46.000000,1098157924557172736_1100996882878353408
user_~carrigan~,video_1120196474228412416,summer hylton,2014-09-10T02:58:14.000000,1120196474228412416_1121320670131888128
user_Kaylessia Chanell Williams,video_1134750388717752320,I would bet the fuck out of her,2014-10-26T08:01:54.000000,1134750388717752320_1138066931585523712
user_Ryan Austin,video_1065408203174641664,Hey guys! Please go check out my last Vine please! ☺️ See why windy days are the worst 👍 Thank You!,2014-04-10T23:58:38.000000,1065408203174641664_1066192515599831040
user_Dulce Nuñez,video_1100156714189541376,Omg,2014-07-13T17:23:04.000000,1100156714189541376_1100157424947572736
user_Dulce Nuñez,video_1161768321448910848,queen b,2015-01-01T21:24:11.000000,1161768321448910848_1162548818034733056
user_DaAwesomGamer,video_1174190715665047552,I get what ur saying tho,2015-02-03T01:26:40.000000,1174190715665047552_1174206255359787008
