source,target,timestamp
user_The Riley Hunt (BVC),video_1133597792259268608,2014-10-14T00:03:08.000000
user_mkäy edits,video_1111084851513430016,2014-08-12T21:04:45.000000
"user_CarolinaBoii ""YeaaWitTheYeaa",video_1174521589077852160,2015-02-03T22:19:42.000000
user_YonnAa,video_1169494844386037760,2015-01-21T01:25:13.000000
user_Jeremy Scott,video_1131394594089680896,2014-10-07T22:08:25.000000
user_J-Dot,video_1037604986386882560,2014-01-22T02:42:00.000000
user_LxrdJaay,video_1009254563917803520,2013-11-04T21:07:33.000000
user_Shad Williams,video_1116566662003810304,2014-08-28T00:07:31.000000
user_Irenes Voiceovers,video_990183429989871616,2013-09-13T06:05:40.000000
user_Reggie COUZ,video_1037584295784497152,2014-01-22T01:19:47.000000
user_Dems,video_1181186912598253568,2015-02-22T07:45:19.000000
user_Kev Smoov #NOSubbin,video_1127053283874267136,2014-09-25T22:37:36.000000
user_Bae,video_1163561219811172352,2015-01-04T16:27:06.000000
user_Lele Pons,video_1154245906804473856,2014-12-09T23:31:23.000000
user_TyBuggy❗️BVC GA,video_1162580603787464704,2015-01-01T23:30:29.000000
user_Yo Mama,video_1112180626523672576,2014-08-15T21:38:58.000000
user_GenuisMe+,video_1173177027818323968,2015-01-31T05:16:54.000000
user_Just Sports,video_1134908868867313664,2014-10-17T14:52:53.000000
user_TeeAyeOh,video_1105782383447314432,2014-07-29T05:54:38.000000
user_Jesus,video_934329487129214976,2013-04-12T03:02:02.000000
user_Starflow♫,video_1169489874899066880,2015-01-21T01:05:28.000000
user_GAMETIME,video_1034009613798187008,2014-01-12T04:35:16.000000
user_•Jenna Marbles•,video_1176770072732479488,2015-02-10T03:14:22.000000
user_Justin Bieber Vines,video_1048908355407675392,2014-02-22T07:17:33.000000
user_Justin Bieber Vines,video_1170303946817167360,2015-01-23T07:00:18.000000
user_dope styles,video_1176468460994273280,2015-02-09T07:15:52.000000
user_Jelly SoSevenWard,video_1124193149447798784,2014-09-18T01:12:27.000000
user_fresh,video_1119903629130801152,2014-09-06T05:07:25.000000
user_PEACHbone (ThirstTrapPrincess),video_1164065840933773312,2015-01-06T01:52:17.000000
user_Rebecca,video_1082666054314094592,2014-05-26T10:58:36.000000
user_dope dania,video_1143289117963067392,2014-11-09T17:53:01.000000
user_Chris the Janitor,video_1161761878444322816,2014-12-30T17:17:10.000000
user_Sports Zone,video_1152774856690098176,2014-12-05T22:05:57.000000
user_Justin Bieber ♛,video_1037513465897598976,2014-01-21T20:38:20.000000
user_MIKE,video_1053851785821384704,2014-03-07T22:40:59.000000
user_SheLovesMeechie,video_1095439996166582272,2014-06-30T16:57:41.000000
user_NaroushMotaEdits,video_1121066447423053824,2014-09-09T10:08:03.000000
user_blah,video_1155963415588950016,2014-12-14T17:16:09.000000
user_leslies edits,video_1151348347664293888,2014-12-01T23:37:31.000000
user_Ariana Grande,video_1146660624768872448,2014-11-19T01:10:10.000000
user_Madeline,video_1056707580472258560,2014-03-15T19:48:53.000000
user_Yani Poonani The God 4/23/93,video_1152325866454708224,2014-12-04T16:21:49.000000
user_literally calum,video_1161504489703194624,2014-12-30T00:14:24.000000
user_Denzel Dion,video_1071559888842489856,2014-04-25T19:26:40.000000
user_murderized,video_1174245255768346624,2015-02-03T04:01:39.000000
user_New England Patriots,video_1173883918076841984,2015-02-02T04:05:49.000000
user_too turnt faith,video_1142134642015895552,2014-11-06T13:25:32.000000
user_POPPINMEDIA.COM,video_1048815494985551872,2014-02-22T01:08:34.000000
user_Exclusive773,video_1065026019561533440,2014-04-07T18:43:24.000000
user_KingBach,video_1015768740903772160,2013-11-22T20:32:33.000000
user_KingBach,video_1095896759818952704,2014-07-01T23:12:42.000000
user_KingBach,video_1156289459633999872,2014-12-15T14:51:43.000000
user_Leek0,video_1032610021605056512,2014-01-08T07:53:48.000000
