source,target,creation_time
video_1001397703332573184,media_session_1001397703332573184,2013-10-14T04:47:11.000000
video_1001531161459441664,media_session_1001531161459441664,2013-10-14T13:37:30.000000
video_1001681548694978560,media_session_1001681548694978560,2013-10-14T23:35:05.000000
video_1003042166966312960,media_session_1003042166966312960,2013-10-18T17:41:42.000000
video_1003490149176602624,media_session_1003490149176602624,2013-10-19T23:21:49.000000
video_1003782474029248512,media_session_1003782474029248512,2013-10-20T18:43:25.000000
video_1003884378750849024,media_session_1003884378750849024,2013-10-21T01:28:21.000000
video_1004042856425508864,media_session_1004042856425508864,2013-10-21T11:58:05.000000
video_1004191380798881792,media_session_1004191380798881792,2013-10-21T21:48:16.000000
video_1005287795113463808,media_session_1005287795113463808,2013-10-24T22:25:01.000000
video_1005624904525201408,media_session_1005624904525201408,2013-10-25T20:44:34.000000
video_1006189706306084864,media_session_1006189706306084864,2013-10-27T10:08:54.000000
video_1006225114423021568,media_session_1006225114423021568,2013-10-27T12:29:36.000000
video_1006384270601768960,media_session_1006384270601768960,2013-10-27T23:02:01.000000
video_1006719408925827072,media_session_1006719408925827072,2013-10-28T21:13:45.000000
video_1007133962444914688,media_session_1007133962444914688,2013-10-30T00:41:02.000000
video_1008090316898803712,media_session_1008090316898803712,2013-11-01T16:01:14.000000
video_1008196651174727680,media_session_1008196651174727680,2013-11-01T23:03:47.000000
video_1008397706999549952,media_session_1008397706999549952,2013-11-02T12:22:42.000000
video_1008804987607896064,media_session_1008804987607896064,2013-11-03T15:21:05.000000
video_1009254563917803520,media_session_1009254563917803520,2013-11-04T21:07:33.000000
video_1009707103394627584,media_session_1009707103394627584,2013-11-06T03:05:46.000000
video_1010700490369089536,media_session_1010700490369089536,2013-11-08T20:53:08.000000
video_1010794773910863872,media_session_1010794773910863872,2013-11-09T03:07:47.000000
video_1010803384435216384,media_session_1010803384435216384,2013-11-09T03:42:00.000000
video_1011871419321417728,media_session_1011871419321417728,2013-11-12T02:26:00.000000
video_1012202601665691648,media_session_1012202601665691648,2013-11-13T00:22:00.000000
video_1012300587720699904,media_session_1012300587720699904,2013-11-13T06:51:21.000000
video_1012520751829598208,media_session_1012520751829598208,2013-11-13T21:26:12.000000
video_1012670469843058688,media_session_1012670469843058688,2013-11-14T07:21:08.000000
video_1013942839530467328,media_session_1013942839530467328,2013-11-17T19:37:05.000000
video_1013994610969788416,media_session_1013994610969788416,2013-11-17T23:02:48.000000
video_1014047599634104320,media_session_1014047599634104320,2013-11-18T02:33:21.000000
video_1014296143544356864,media_session_1014296143544356864,2013-11-18T19:00:59.000000
video_1014439802227286016,media_session_1014439802227286016,2013-11-19T04:31:50.000000
video_1014455979091656704,media_session_1014455979091656704,2013-11-19T05:36:07.000000
video_1014514130801008640,media_session_1014514130801008640,2013-11-19T09:27:11.000000
video_1015742929878622208,media_session_1015742929878622208,2013-11-22T18:50:00.000000
video_1015768740903772160,media_session_1015768740903772160,2013-11-22T20:32:33.000000
video_1016168381583654912,media_session_1016168381583654912,2013-11-23T23:00:35.000000
video_1016596288051306496,media_session_1016596288051306496,2013-11-25T03:20:56.000000
video_1017316387020218368,media_session_1017316387020218368,2013-11-27T03:02:21.000000
video_1017348591884328960,media_session_1017348591884328960,2013-11-27T05:10:19.000000
video_1017875065444130816,media_session_1017875065444130816,2013-11-28T16:02:20.000000
video_1017970044258377728,media_session_1017970044258377728,2013-11-28T22:19:45.000000
video_1018345515672645632,media_session_1018345515672645632,2013-11-29T23:11:44.000000
video_1018399483828326400,media_session_1018399483828326400,2013-11-30T02:46:11.000000
video_1018667358321250304,media_session_1018667358321250304,2013-11-30T20:30:38.000000
video_1018729501821399040,media_session_1018729501821399040,2013-12-01T00:37:34.000000
video_1019009049120886784,media_session_1019009049120886784,2013-12-01T19:08:23.000000
video_1019862122563563520,media_session_1019862122563563520,2013-12-04T03:38:12.000000
video_1020511330580787200,media_session_1020511330580787200,2013-12-05T22:37:55.000000
video_1020541928640507905,media_session_1020541928640507905,2013-12-06T00:39:30.000000
video_1020817084546215936,media_session_1020817084546215936,2013-12-06T18:52:52.000000
video_1020901686048665600,media_session_1020901686048665600,2013-12-07T00:29:03.000000
video_1020912874765619200,media_session_1020912874765619200,2013-12-07T01:13:30.000000
video_1020930368741761024,media_session_1020930368741761024,2013-12-07T02:23:01.000000
video_1021214042855018496,media_session_1021214042855018496,2013-12-07T21:10:15.000000
video_1021311568061095936,media_session_1021311568061095936,2013-12-08T03:37:46.000000
video_1021335174224465920,media_session_1021335174224465920,2013-12-08T05:11:35.000000
video_1021655017381584896,media_session_1021655017381584896,2013-12-09T02:22:31.000000
video_1023091917250023424,media_session_1023091917250023424,2013-12-13T01:32:15.000000
video_1025200529762304000,media_session_1025200529762304000,2013-12-18T21:11:07.000000
video_1025231522179231744,media_session_1025231522179231744,2013-12-18T23:14:16.000000
video_1025563073714483200,media_session_1025563073714483200,2013-12-19T21:11:44.000000
video_1025583405355937792,media_session_1025583405355937792,2013-12-19T22:32:32.000000
video_1025590120042164224,media_session_1025590120042164224,2013-12-19T22:59:13.000000
video_1025609192838443008,media_session_1025609192838443008,2013-12-20T00:15:00.000000
video_1026296025050148864,media_session_1026296025050148864,2013-12-21T21:44:14.000000
video_1026658089262612480,media_session_1026658089262612480,2013-12-22T21:42:56.000000
video_1026805374071754752,media_session_1026805374071754752,2013-12-23T07:28:12.000000
