id,url,description,likes_count,timestamp,comment_count
video_1001397703332573184,,I Will Follow You Into The Dark - Death Cab For Cutie |New Perspective| #dcfc #NoseGuitar #loop,28681,2013-10-14T04:47:11.000000,766
video_1001531161459441664,,my #mcm #mancrushmonday #absolutely  Nick Santonastasso ♡♥,1838,2013-10-14T13:37:30.000000,68
video_1001681548694978560,,Omfg like no mom,6111,2013-10-14T23:35:05.000000,418
video_1003042166966312960,,This how u wake a nigga up part2,7025,2013-10-18T17:41:42.000000,168
video_1003490149176602624,,OHHHHHHMMMMMMGGGGGGGGGG! The Official Honey Boo Boo Vine is following me! Is this real life?! Ahhhh! #mademyday #loveyou,592,2013-10-19T23:21:49.000000,106
video_1003782474029248512,,What the Fuck?? #KevinHart is not ok with this..... #Ufc #andersonsilva #StopThatsGay,11008,2013-10-20T18:43:25.000000,612
video_1003884378750849024,,When rappers voice suddenly change during a song #SmackCam #comedy1 #boybandparty #entertainment #RonnieBanks #SingForCSM,2072,2013-10-21T01:28:21.000000,110
video_1004042856425508864,,deRay in Nigeria wit my homies,835,2013-10-21T11:58:05.000000,72
video_1004191380798881792,,The reason I delete those who add me on Facebook,468,2013-10-21T21:48:16.000000,120
video_1005287795113463808,,"LMAO my best FRIEND... WE CALL HER ""white GAL"" Pretty Red 👏💃💃🙌👊💢🔥🔥💃💃💃👏👏💁👌",1835,2013-10-24T22:25:01.000000,98
video_1005624904525201408,,There is always that one guy... #TEAMSOUR,1331,2013-10-25T20:44:34.000000,254
video_1006189706306084864,,Tur kültürlenmesi :),1953,2013-10-27T10:08:54.000000,84
video_1006225114423021568,,"Iron Chest Charlie, Redeyebrows, CrazyAhh Steve #TEAMSOUR #wildnights #collegelife",118,2013-10-27T12:29:36.000000,76
video_1006384270601768960,,💻👊💢😩😭😳 #Cyberbullying???... #LogTheFuckOff!!! 😒💁,3742,2013-10-27T23:02:01.000000,226
video_1006719408925827072,,DORA THE EXPLORER A RUDE ASS LIL GIRL!!! 😡😡😡😡😡😡😡😡 bitch ain't give a nigga a chance to talk!,13075,2013-10-28T21:13:45.000000,712
video_1007133962444914688,,Can someone please explain to me what's wrong here. #GTA #gta5 #trevor #Franklin #stripclub #funny #LOL #dying #comedy #wtf,413,2013-10-30T00:41:02.000000,132
video_1008090316898803712,,,315,2013-11-01T16:01:14.000000,226
video_1008196651174727680,,Trying to make predictions with Cameron..... #Remake Princess Lauren,614,2013-11-01T23:03:47.000000,304
video_1008397706999549952,,I've fallen and can't get Up :) Hope you like it,56,2013-11-02T12:22:42.000000,46
video_1008804987607896064,,Revine or ignore,1591,2013-11-03T15:21:05.000000,932
video_1009254563917803520,,😩 I tried to scare my brother but #Failure #Smh 😩😫 (w/ Dunn1 ) #LxrdJaay #Deleting,1316,2013-11-04T21:07:33.000000,134
video_1009707103394627584,,Niggaz be like #oops #sorry #mybad #myfault #didntmeanto 🚽💦🙈,72,2013-11-06T03:05:46.000000,458
video_1010700490369089536,,My First Time Singing On Vine 🎤😩 #singing #beautifulvoice #fyv #NickScales #MoreComingLater,731,2013-11-08T20:53:08.000000,244
video_1010794773910863872,,"#Downwithyaboy Jen Dent, Crunk Panda",5,2013-11-09T03:07:47.000000,58
video_1010803384435216384,,I love ice cream,556,2013-11-09T03:42:00.000000,38
video_1011871419321417728,,Sick like the common cold / People hate it's comical / Then they hear my flow disappear no tide to go 6 Second Bars,717,2013-11-12T02:26:00.000000,90
video_1012202601665691648,,Done fucking blew me!!! #NOLATakeOver,1835,2013-11-13T00:22:00.000000,120
video_1012300587720699904,,#davidbanner #play #remix #music #comedy #drunk #yup yup wtf lmao #teampabstblueribbon,141,2013-11-13T06:51:21.000000,52
video_1012520751829598208,,"OMG, he's right behind me!! KSIOlajideBT, Ksiolajidebt, #blackman #scared #OMG #wtf #funny",95,2013-11-13T21:26:12.000000,32
video_1012670469843058688,,Hella fucked up lol but #remake of Phoenix Banuelos crazy fingers lol #stayflyjboy #vapeteam #tut #teamcoolsmoketricks,626,2013-11-14T07:21:08.000000,42
video_1013942839530467328,,"""Wake up lil nigga"" haha #funny #cats #comedy #like #revine",115,2013-11-17T19:37:05.000000,92
video_1013994610969788416,,Best buds,0,2013-11-17T23:02:48.000000,136
video_1014047599634104320,,#ElkeTheStallion bts at da #WSHH shoot,2186,2013-11-18T02:33:21.000000,252
video_1014296143544356864,,On Oct. 28 Police Officers open fire on a mini van full of kids. Revine this to fight against #PoliceBrutality,155,2013-11-18T19:00:59.000000,236
video_1014439802227286016,,Patrick Roy gets around Wayne Gretzky and finishes with a spin o rama.  #nhl #colorado #Rangers #hockey #loop #beaut,1907,2013-11-19T04:31:50.000000,168
video_1014455979091656704,,Had to put then paws👊 on that DUDE PEGGY BRUH! 😂😂 Talkin shit bout #NOLATakeOver .      #PeggyBeLike,308,2013-11-19T05:36:07.000000,32
video_1014514130801008640,,iCelebPretty I'm 😴 #TEAMSOUR,516,2013-11-19T09:27:11.000000,38
video_1015742929878622208,,I no longer want kids,393,2013-11-22T18:50:00.000000,46
